mint_address,collected_at,index
X3qPC4HYu3DBSxGYbevftb16RJYNm3c87qV1z3tDXRj,2025-07-29T16:27:30.696606,0
4ZTzLk9dsmzLFSmT1tcFeLUyfKhuGPpWQPakkY8Hpump,2025-07-29T16:27:30.696606,1
9Nj2NN9z1JxmSPDtJ7b2VWn3m8RgeZx2jAeGWTp2pump,2025-07-29T16:27:30.696606,2
H9kRfXFRK6vbfCkq4TpGbqxV1YUQUMcdL3aQHNV6pump,2025-07-29T16:27:30.696606,3
BUeSBsAanxQeM3EdpPvb7pciEQ4TALRQNfp9HCGexfwG,2025-07-29T16:27:30.696606,4
CJanz249LgvmL21uJsqpKfj7DLD4rQiBcoTUpHSemRS8,2025-07-29T16:27:30.696606,5
96rAdTjjivb2icfvDw3TMa7n6zqmR5ptS4sNLipHpump,2025-07-29T16:27:30.696606,6
GPrGBEsZzKrW5Z41NDTi248ZXcjnEjeUTZKY941gQCcN,2025-07-29T16:27:30.696606,7
DxuZtRqzVonQ6yFqv5fpDAUQS4pXvBxjR6x9CEvCukVd,2025-07-29T16:27:30.696606,8
BowaDanNoPVWR3PgRWumiv1WrZ7ibrKWemJHTy6rpump,2025-07-29T16:27:30.696606,9
