mint_address,label
X3qPC4HYu3DBSxGYbevftb16RJYNm3c87qV1z3tDXRj,unsuccessful
4ZTzLk9dsmzLFSmT1tcFeLUyfKhuGPpWQPakkY8Hpump,unsuccessful
9Nj2NN9z1JxmSPDtJ7b2VWn3m8RgeZx2jAeGWTp2pump,unsuccessful
H9kRfXFRK6vbfCkq4TpGbqxV1YUQUMcdL3aQHNV6pump,unsuccessful
BUeSBsAanxQeM3EdpPvb7pciEQ4TALRQNfp9HCGexfwG,unsuccessful
CJanz249LgvmL21uJsqpKfj7DLD4rQiBcoTUpHSemRS8,unsuccessful
96rAdTjjivb2icfvDw3TMa7n6zqmR5ptS4sNLipHpump,unsuccessful
GPrGBEsZzKrW5Z41NDTi248ZXcjnEjeUTZKY941gQCcN,unsuccessful
DxuZtRqzVonQ6yFqv5fpDAUQS4pXvBxjR6x9CEvCukVd,unsuccessful
BowaDanNoPVWR3PgRWumiv1WrZ7ibrKWemJHTy6rpump,unsuccessful
29oG3N7SqF1RXv2w5BczoDWWf9MvqaP9Qi5injLvwjcM,unsuccessful
GpQYL7wSfs5j1KuDQughmL9bwncQ9C1EropWmz5Bpump,unsuccessful
5NjN4ZY44xvPgyZMC4RBPudJwnJhCACn5TjMcEQpxeBA,unsuccessful
A4MnR4WQ4SMUHW9mXUYbVpcHv2AumVx2yReEpG5RjpnP,rugpull
4sSkCVZRjbCyixuyiVpzH9enTWnQ1TXDPqfjPAsbNyZS,unsuccessful
YLmHHTLwdATaFzdzmHSHBtNEsMVYdpSKx8d8brM7xU5,unsuccessful
FvgDWzKMA9UAkCTQ1WTv3MtTuGWCkqJyEubQa5Jxpump,unsuccessful
6myRZJ6qFbJyA39GTrDGCTgvsxdFTaVkbz7bCKEAGtT1,unsuccessful
EDFzmiehpnqnARThVJPUUFqJ9vTaF4h8VrG9cB3Ky4CU,unsuccessful
8dhVi6VfjUetjwyj95TbqTwCEjfhhAPL3kvkiuSUKyqZ,unsuccessful
4Uy5xBrv4sWjAHLbNpq9hJeYt35mTskDYEgtaaZupump,unsuccessful
nBRBiBR8xQ14HCXyu1fcYXsVVF9J1ENEvSEgny1pump,rugpull
V5nbQcnwL5gJshmx6STmjoX18fLLoDaru1m2geGpump,rugpull
DitJ6MpvzoydJP9b6f1YTXHNpa9CdBmKPzesjbt5L1kQ,unsuccessful
5YPpdaFU3AfDAT3gb4DjYmjcfu9huuGaLJBxB8Sapump,unsuccessful
Bn4nBhQa2JAFGhSbjqgC9dCYMyAF3CGEaAzshbaapump,rugpull
FPCiQD3FQv4TzinaXfphopSNDMMxmEeNELtSYEPVavHJ,unsuccessful
77WiErwWfLhBnaBYwGjkhiPq7sW7uWrqPtAhQb3Wpump,unsuccessful
iLmvXrNTQ5RLNgnV2tCtbgScJhsVqpz8spDsLYrpump,unsuccessful
Ai2WwE66oTvTiagsPPRR1XZ9f3N3RRqo86oqnFK94nbu,unsuccessful
GSgwocrA7yDmjAbNnaZcjmQ6SYFcXYwc9SCNUVdHpump,unsuccessful
5qBECJ944XQpCRkiEgQigkTEXMNtQMmNAApHpJFjkMVn,unsuccessful
