mint_address,label
X3qPC4HYu3DBSxGYbevftb16RJYNm3c87qV1z3tDXRj,rugpull
H9kRfXFRK6vbfCkq4TpGbqxV1YUQUMcdL3aQHNV6pump,rugpull
BUeSBsAanxQeM3EdpPvb7pciEQ4TALRQNfp9HCGexfwG,rugpull
CJanz249LgvmL21uJsqpKfj7DLD4rQiBcoTUpHSemRS8,rugpull
8dhVi6VfjUetjwyj95TbqTwCEjfhhAPL3kvkiuSUKyqZ,rugpull
4Uy5xBrv4sWjAHLbNpq9hJeYt35mTskDYEgtaaZupump,rugpull
nBRBiBR8xQ14HCXyu1fcYXsVVF9J1ENEvSEgny1pump,rugpull
V5nbQcnwL5gJshmx6STmjoX18fLLoDaru1m2geGpump,rugpull
6mj1McR1CVCpdpbfg4pCW5s8PgzGWUukpspesrmV9cJ7,unsuccessful
Bhe5dMaAozi6YPMB6pgJYuRzcmBaVUkK1cdy91nNzjRD,inactive
JBfGBEao3VvEMh4d3AvJxbHDQm62An3AbEoBEtDwdqr2,rugpull
zpcDvbgNa4KwWugA1KLMEuG7CAfcR7ntt4WNKCifPsQ,rugpull
C3EbQNN71wccEfG6jQqbfKv7mrq6hVG2NyxP5Vhcic7L,rugpull
7sTEE67kQCzygLqibsq2LQwmXr7mME4JfthjKWipump,rugpull
9h9foDroFMN3JMvYtSTbPBvoenrDXj5LFNmMHd3bL7cE,rugpull
BFKxB15KFxrEdr9TcJiQtFUb2xxLEjhspoJHhyqBo4bB,rugpull
HZpG4YLiRHWaLxsHpVZCprLBRMxz6hdsvZFxNUhTa3JD,rugpull
3pfwZxtoAexBVcDxmgYhEwjKnt68C3qMQ5rXYKQWpump,inactive
D8PR1KX4yzjwJDs1Nhi1hHCubzyExX521Pj4fvFupump,rugpull
8vrZbFHVhm5JRbyGsVqukpTG6vpPtn35M91AfQdxMrTy,rugpull
9J658T76GmYkibvpSGVSgG6gsDpKmdzQ9zU3F5jmaNmU,inactive
CAubLyEkgsi7Eo5utx2hv2GGx8RYuUNoY8ggot9RAYzN,rugpull
HwsusN16Ys9yhS8hMQ8rB92SJhkkAchft5xbzUgprRuv,inactive
EBhRur27ksSNhG6gtXBNQwdN26j59DbQYZ4HPQX2VsSd,rugpull
7fNi4bwmWdRMKCPSVh1dbd87eSFfTd5f8wm2ZtUTcK78,rugpull
3y1MRdxanDDiHQuAcMQSJkWzCZsNwDBzHgvWZSPYd68B,rugpull
8DGMEU5TcXJFYxUSURtJMH499Gz66tCwM8EgXtwA2TiK,rugpull
6wV3zchfJF82sps4Q4DVWXehFgNZ4sZTYJAL3rzKpump,rugpull
3KK3WUZGPy5Fjn9nayZZEacfwWi275vkhaHsmLqRwjmg,rugpull
EeoDxWVDYt7fJgv5aatXVQ12GYpvY4nnScXVDc2Apump,inactive
twoT7rhyfPjHDNtyZYF5CLVHHt6pSz8weib5TJTpump,rugpull
HTvgBbGoBwmqb3SXGvkVbKPmW1ibdrL5GesS8P7apump,rugpull
HJZEdJPJS7yGraVWD3kDSwycySh2S2We1EcVxTGsGVDo,rugpull
CAYRVBf51mWEqvgzqxSpxaz8vCExtbmGnA4EZcqmqgeU,rugpull
8Z7YDxJENtaFZFoTVtbhWzYjjwLxemkGPeP8RvEgpump,rugpull
8VCDJbcw85wzfhDNrAycxyzgjzBjGUcuUAJyCELPpump,rugpull
GGboAt1B3Dog1PYpfXAKYjgKmsMPes2eFuAnd8Crpump,rugpull
HQj7CtYG7dt9gVxEbyELsiUtsSj58x6nyctwED4MwKLG,rugpull
BFBKUwB7cfpcSJnEXTreMptZJSaLAbjqrrc27Qb7pump,inactive
GY71DhXiDayMXWeNJCf6BY5VB9YCnHGtBdW2qv2z33dW,rugpull
7SG8iTzcZy21E3nWNdjmHkeehiEp8L15SQ3WEva7WPH6,rugpull
876WHoAq3YqL1ketT1798zaJdqT3DimP9MriQ1JAXBa8,rugpull
4x8N5nFXRhgxAPPMqbtqwT8zmqC1YrAZKKGYJSQK6HzV,rugpull
5SSDcGgHyjAN9df6JHQ11xtSxh2k4ufGp5HZuWkNfAnz,rugpull
59rwM2nDoocmMnka6Atu9TDfqmFy9norJmvzaWLiafqu,rugpull
5Y3hQGM9JLwbYAKJpb9vUmSqdGvxNcwLG6RsJSg7pump,inactive
DrTeoJAHSdh5W9KspgE8Rq3beRvmMgTgXCGCvQcdrQDv,rugpull
223YjZpFddZk9yDR2NU4AEp8VDJT9qyMJRcJv1GrEdyv,rugpull
DnkL5S4hN6wJSAqiq6iFok7tv3AwxUyNT5TY6K7P1VV1,rugpull
HrH3U6CTWTysykMLVwihPXT8XTeAdrkHWJcQUmcNa94z,rugpull
Afsz1mcD9WxN2LV1e4GKySwskuFV2v6mqTrJjDK31Rsw,rugpull
9CcCcZXL4ETpfqzbrDnyGuNN9mpUvAgX4icv33C98BdY,rugpull
AfcmE7wjPjJ3mRi5PWjk1d4kM9LEkivxgTaLPvn3pump,inactive
3U5kT5E7RhkeoW92CoVDQUwaqTTvCjvAc6HrgEeirRcG,rugpull
EBCz3bdp6Z1m2Vhx9TyA6KAkRC6tr8zpTXoV5BUnVGTR,rugpull
EEDibz5GLzhVnKzwiqXPTQqyLzhzeiwCtqXARbcYAPvo,rugpull
2XQhqao564PEqb218yVkmdhZaTqG6E85x7X6jXr2334R,rugpull
7WdLqzPPYxKNyeMjQXoPV8nL9B9wMQZfDum4fCRhhEVg,inactive
2kARUpcjqKJdSTgZQKrzABLKbjvi2hNADYwHq7z52gGq,rugpull
sYrBgVahgjN7hRTXjaqw1Gszu694ML8mHL8cN8xXrJ4,rugpull
5GfN4bPHHW2yz6t4rLCyFU11PmbwijPfUCuj7U4eR1Vo,rugpull
F3WXv7ndFqgNjSKN7D9jf77QpAnASQVNyCpZAGMr89ug,rugpull
2uMcnaYXtQv423o6fPjxv8mccWpNkbgxNrCs6tKSFbk2,rugpull
C68jMR4xsQwtrPffeb8oAcMhYz6wffh953CdP83DBXJW,inactive
HKMK459tCGnj91Wrfrw42TtRgRFuD9iRTPkBG8nERVMb,inactive
88rY3zKhUUSRqZkHBnk6t45r8kc6zJ3VyfSt8haypump,rugpull
4bE6zwerNtzS4KxZxNoeYRbBsJid61xvc1KiATW1H4Wa,rugpull
A4aLL1TS8Z9HjoCMdGNrW4HucASzwubFfkKrmnNjpump,rugpull
Degq5M3QxT1M8Bne6SwRxnH7A5t1RPxzSPXEcMyKjFYf,rugpull
Hp4mcxXjYKQtbddHpvBxGD9LJfcgGEcNYTsQuS6uETvj,rugpull
FWXvBL6sSXMnccpZvsQoxZQQ8pZifs1RhU68Xjb9pump,rugpull
DkodgqHkLYanpbfsag6xfH7uq6FairCWmwf8FVxYMSrG,rugpull
4SvAysx8QbzQvyRMiQnhqYvi5Zqu4nSRdn8N4NZE1wq4,rugpull
G6V2i5AG7KihkYrTgdfAAVU4i4xmrZXSVehVbBadYyC,rugpull
FdkjcjdwDDQUrnYqUfPGcrRGYqMw6HDbpf9cUzAvpump,rugpull
5p4beoLMkJC3MKr8R6aarTDvpy88BhZxFFipkMXRVM86,rugpull
5Ynqv44tJtmfsZFmfGsYxk545kBE9mbTdRpjhwv8wxmx,rugpull
5SRQLcZCDvwbLKd1KDsxuE8F8n6Ljo9TPbyhVty5pump,rugpull
V98RBsRhsjc4FVvGdqLpsJFokiwQqfDWjhXWupJxLwG,rugpull
CvW615VnStHN6c9w6T8xrqYW1tKc2M933EnTx5QctmJe,rugpull
7CY3zHkhSonBw21Jvb5ocxTFuzVhHdQQr8VLMEWkpump,rugpull
HujToVgRF6M4Hbh7KBSe8tXCoKWw7RVGFpao4vg8Xc9f,inactive
FckUeELrdf3z41zkJyEhWVA9oWPoC6To2tXB4uLcWugV,rugpull
indDDGwYSpeZ1sNBtszrzmUrvYRzw8JHEjAgjFn64zN,rugpull
FDgf9BgQMKDt9aGbX1eAKQwGRZuugRaxLjvcTuAMmoon,rugpull
GhBibt7QsJnc3D9Ghf9Zvg8uVf6eYBpCfbnbqPUpump,rugpull
FJXcP3or67TX7AwbKFHy3ADn9MdCGqgwfibj2ujru7ZZ,rugpull
CcrKM8tyyCYvSJZ8zjUuubZ2KDX1sn6AqZWSBv4EXAQV,rugpull
eJsMRPqdpufNGQ7gjoBDVbqc3jb3NyqXzKL9ewPpump,rugpull
ST6p22iCsYyfBSBvt5G9BAyEKCjA1Z78Qrx1nhvcqFM,inactive
4aaTHs3UxgKnTfGB5XddCs8raBVyjUgHFMwgVT6Fpump,inactive
4Lf2QnEh8TdFfztsNsLzhoygncdipzodcc6zk9FTpump,inactive
2S8p9ZP7ZnkimVdddYCYaAoGzYkoHCBUBohzDJWzRHg5,inactive
B7w4B8vGDwHwofv22qwcvL9CmT3Mi6QWdH6zzgiyMnNK,rugpull
GX12RFe7ozVRTUsaZb36eeVctazkS7iXPTGF7Utjpump,rugpull
616Cw59HdkYZYcr8HEXoyGtsoyeWKSimWjchh5zYoto5,rugpull
FGRNpy6thfeiUbmi8ethJ4tHXscZDJEWUiXaAQtd3mQF,inactive
DSvxoYYx8yPZXfrby1daJmhhxgeTv3Q8sGcHr6xSzaWL,rugpull
GTVdwDAvLxYnCG6AgwWoHnWJmWJbHpLZegyosn6ypump,rugpull
FsT7KPQDw99QdvxkuNWapteYK6Xq2ChqjCHxdwjucLnk,inactive
45Gt4ePAFQDnWpRg7YfHtLQmiTsqkt5zYDBQha8xpump,inactive
EWBbEjZpJY71XfyicFn1Ena3s9uJCAMnvT6TFUVM1CvA,rugpull
ANqkFXe8yKEG8FCxAG4rJAVC653VBjMr5DRkzMCUGkzw,inactive
